0, 0, 0, 0, 0, 1, 0, -1, 0, -1|000010001
0, 0, 0, 0, 0, 1, 0, 0, -1, -1|100010110
-1, 0, 0, 0, 0, 0, 1, 0, 0, -1|001000011
0, -1, 0, 0, 0, 0, 1, 0, 0, -1|100010001
0, 0, -1, 0, 0, 0, 1, 0, 0, -1|100000001
0, 0, 0, -1, 0, 0, 1, 0, 0, -1|000010011
0, 0, 0, 0, -1, 0, 1, 0, 0, -1|111101011
0, 0, 0, 0, 0, -1, 1, 0, 0, -1|100010001
0, 0, 0, 0, 0, 0, 1, -1, 0, -1|100110000
0, 0, 0, 0, 0, 0, 1, 0, -1, -1|101100000
-1, 0, 0, 0, 0, 0, 0, 1, 0, -1|000000100
0, -1, 0, 0, 0, 0, 0, 1, 0, -1|101111101
0, 0, -1, 0, 0, 0, 0, 1, 0, -1|000000001
0, 0, 0, -1, 0, 0, 0, 1, 0, -1|000010100
0, 0, 0, 0, -1, 0, 0, 1, 0, -1|101101101
0, 0, 0, 0, 0, -1, 0, 1, 0, -1|000010001
0, 0, 0, 0, 0, 0, -1, 1, 0, -1|101110000
0, 0, 0, 0, 0, 0, 0, 1, -1, -1|101011000
-1, 0, 0, 0, 0, 0, 0, 0, 1, -1|001000100
0, -1, 0, 0, 0, 0, 0, 0, 1, -1|001010100
0, 0, -1, 0, 0, 0, 0, 0, 1, -1|100000110
0, 0, 0, -1, 0, 0, 0, 0, 1, -1|001010100
0, 0, 0, 0, -1, 0, 0, 0, 1, -1|111101110
0, 0, 0, 0, 0, -1, 0, 0, 1, -1|000010110
0, 0, 0, 0, 0, 0, -1, 0, 1, -1|101001000
0, 0, 0, 0, 0, 0, 0, -1, 1, -1|001011000
1, -1, 1, 0, 0, 0, 0, 0, 0, 1|000010000
1, -1, 0, 1, 0, 0, 0, 0, 0, 1|001011111
1, -1, 0, 0, 1, 0, 0, 0, 0, 1|001101111
1, -1, 0, 0, 0, 1, 0, 0, 0, 1|000010000
1, -1, 0, 0, 0, 0, 1, 0, 0, 1|001111011
1, -1, 0, 0, 0, 0, 0, 1, 0, 1|000000101
1, -1, 0, 0, 0, 0, 0, 0, 1, 1|000010000
1, 1, -1, 0, 0, 0, 0, 0, 0, 1|000001001
1, 0, -1, 1, 0, 0, 0, 0, 0, 1|010011111
1, 0, -1, 0, 1, 0, 0, 0, 0, 1|000000001
1, 0, -1, 0, 0, 1, 0, 0, 0, 1|000110000
1, 0, -1, 0, 0, 0, 1, 0, 0, 1|010111011
1, 0, -1, 0, 0, 0, 0, 1, 0, 1|000000001
1, 0, -1, 0, 0, 0, 0, 0, 1, 1|010111110
1, 1, 0, -1, 0, 0, 0, 0, 0, 1|001011111
1, 0, 1, -1, 0, 0, 0, 0, 0, 1|010011111
1, 0, 0, -1, 1, 0, 0, 0, 0, 1|011001111
1, 0, 0, -1, 0, 1, 0, 0, 0, 1|001000001
1, 0, 0, -1, 0, 0, 1, 0, 0, 1|000010000
1, 0, 0, -1, 0, 0, 0, 1, 0, 1|000010000
1, 0, 0, -1, 0, 0, 0, 0, 1, 1|000010000
1, 1, 0, 0, -1, 0, 0, 0, 0, 1|001000000
1, 0, 1, 0, -1, 0, 0, 0, 0, 1|010000000
1, 0, 0, 1, -1, 0, 0, 0, 0, 1|000000100
1, 0, 0, 0, -1, 1, 0, 0, 0, 1|011000011
1, 0, 0, 0, -1, 0, 1, 0, 0, 1|000100000
1, 0, 0, 0, -1, 0, 0, 1, 0, 1|000101101
1, 0, 0, 0, -1, 0, 0, 0, 1, 1|010101010
1, 1, 0, 0, 0, -1, 0, 0, 0, 1|001000000
1, 0, 1, 0, 0, -1, 0, 0, 0, 1|010110111
1, 0, 0, 1, 0, -1, 0, 0, 0, 1|000000100
1, 0, 0, 0, 1, -1, 0, 0, 0, 1|011100111
1, 0, 0, 0, 0, -1, 1, 0, 0, 1|011110011
1, 0, 0, 0, 0, -1, 0, 1, 0, 1|000010000
1, 0, 0, 0, 0, -1, 0, 0, 1, 1|000010000
1, 1, 0, 0, 0, 0, -1, 0, 0, 1|001111011
1, 0, 1, 0, 0, 0, -1, 0, 0, 1|010111011
1, 0, 0, 1, 0, 0, -1, 0, 0, 1|000000011
